Nama,Latitude,Longitude
Bekasi,-6.2672131395077555, 107.11880197831752
Karawang,-6.385801264137404, 107.40709881163355
Bogor, -6.564365008337946, 106.73448114248629
Purwakarta, -6.502900823933702, 107.46163232785217
Cianjur, -6.77719139162793, 107.16430042372332
Citeureup, -6.9640815339319575, 107.62215484138785
Bandung, -6.9231849745801295, 107.70043242420914
Sukabumi, -6.864819293578252, 106.97471855911063
